"transmitted","untransmitted"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"1","X"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
"X","1"
